#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB 
 11:17:48       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:50       0     96     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:52       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:54       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:56       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:17:58       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:00       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:02       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:04       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:06       0     98     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:08       0     97     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:10       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:12       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:14       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:16       0     98     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:18       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:20       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:22       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:24       0     97     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:26       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:18:28       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:30       0     98     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:33       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:35       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:37       0     99     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:39       0     98     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:41       0     97     30     30      -      -      -      -      -      -   1215   1410      0      0   7534      7      0 
 11:18:43       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:45       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:47       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:49       0     99     30     30      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:51       0     98     30     31      -      -      -      -      -      -   1215   1410      0      0   7536      7      0 
 11:18:53       0     60     29     29      -      -      -      -      -      -   1215   1410      0      0     75      1      0 
