workload,partition,mode,mean_ms,p99_ms,n_calls
resnet,3g,with_l1,56.62793807263644,56.802303314208984,
resnet,3g,with_l1,56.62156218762668,56.800254821777344,
resnet,3g,with_l1,56.705817714756066,57.03577423095703,
resnet,3g,alone,56.596126419643184,56.72140884399414,
resnet,3g,alone,56.588388550956296,56.72652816772461,
resnet,3g,alone,56.60194003986862,56.75724792480469,
resnet,3g,alone,56.59010227851148,56.67942428588867,
resnet,3g,alone,56.597886585739424,56.76851272583008,
resnet,4g,with_l1,48.22302289637722,48.57855987548828,
resnet,4g,with_l1,48.10568851079696,48.286720275878906,
resnet,4g,with_l1,48.233239863846464,48.61030578613281,
resnet,4g,with_l1,48.11567246608245,48.28160095214844,
resnet,4g,with_l1,48.124150436915706,48.2949104309082,
resnet,4g,alone,48.107643139668,48.254974365234375,
resnet,4g,alone,48.09485616439428,48.19968032836914,
resnet,4g,alone,48.09686641204051,48.20377731323242,
resnet,4g,alone,48.11009801962437,48.21196746826172,
resnet,4g,alone,48.10162869477883,48.249855041503906,
chanpred,3g,with_l1,0.42577277996663027,0.5529599785804749,66548
chanpred,3g,with_l1,0.42673819745653147,0.5550079941749573,66324
chanpred,3g,with_l1,0.42421581431243904,0.5539839863777161,66715
chanpred,3g,with_l1,0.42629978516945005,0.5560320019721985,66317
chanpred,3g,with_l1,0.42057750355647405,0.5529599785804749,67305
chanpred,3g,alone,0.4206400158064929,0.44543999433517456,67251
chanpred,3g,alone,0.4242283359472662,0.449535995721817,66752
chanpred,3g,alone,0.4289657451167355,0.4546560049057007,65987
chanpred,3g,alone,0.423027917039002,0.44441598653793335,66933
chanpred,3g,alone,0.42593414947899133,0.44543999433517456,66452
qwen,4g,with_l1,21.911070697633182,26.753023147583008,
qwen,4g,with_l1,22.344517737805486,25.613311767578125,
qwen,4g,with_l1,22.230699959568184,26.91584014892578,
qwen,4g,with_l1,22.052521141035328,24.769535064697266,
qwen,4g,with_l1,21.17096461573391,22.797311782836914,
qwen,4g,alone,22.526006099772903,24.877056121826172,
qwen,4g,alone,22.553702937592544,24.850431442260742,
qwen,4g,alone,22.789546816585627,24.72960090637207,
qwen,4g,alone,22.554162705205915,24.849407196044922,
qwen,4g,alone,22.404002971477336,23.591936111450195,
xapp,3g,with_l1,0.12432607559271278,0.15462400019168854,207754
xapp,3g,with_l1,0.12688651007141427,0.15564799308776855,201894
xapp,3g,with_l1,0.13062342209776379,0.1515520066022873,198773
xapp,3g,with_l1,0.12711228188669185,0.14745600521564484,203517
xapp,3g,with_l1,0.12453867539825111,0.14643199741840363,207830
xapp,3g,alone,0.12473409625519004,0.1382399946451187,207423
xapp,3g,alone,0.12995445273380277,0.14336000382900238,199384
xapp,3g,alone,0.12891450788389378,0.14233599603176117,200892
xapp,3g,alone,0.13045078970797283,0.14336000382900238,199099
xapp,3g,alone,0.12912711999861862,0.14336000382900238,200882
xapp,4g,with_l1,0.12382839189181684,0.15462400019168854,207937
xapp,4g,with_l1,0.1259380538324707,0.15769599378108978,205106
xapp,4g,with_l1,0.12627943114196633,0.15462400019168854,202072
xapp,4g,with_l1,0.12498917496380109,0.15462400019168854,206424
xapp,4g,with_l1,0.1256862102720991,0.15667200088500977,205143
xapp,4g,alone,0.12014926471813889,0.131071999669075,215127
xapp,4g,alone,0.12669519770669943,0.13926400244235992,202759
xapp,4g,alone,0.12970868908396008,0.14336000382900238,199852
