[bursty] e4_steady_N4_t1_c4 duration=90s kernels/burst=100 burst_int=100ms idle=0ms
[bursty] burst 2200: 3.36ms, total_kernels=440000
[bursty] burst 2210: 3.39ms, total_kernels=442000
[bursty] burst 2220: 3.37ms, total_kernels=444000
[bursty] burst 2230: 3.39ms, total_kernels=446000
[bursty] burst 2240: 3.37ms, total_kernels=448000
[bursty] burst 2250: 3.37ms, total_kernels=450000
[bursty] burst 2260: 3.37ms, total_kernels=452000
[bursty] burst 2270: 3.38ms, total_kernels=454000
[bursty] burst 2280: 3.38ms, total_kernels=456000
[bursty] burst 2290: 3.38ms, total_kernels=458000
[bursty] burst 2300: 3.38ms, total_kernels=460000
[bursty] burst 2310: 3.38ms, total_kernels=462000
[bursty] burst 2320: 3.37ms, total_kernels=464000
[bursty] burst 2330: 3.39ms, total_kernels=466000
[bursty] burst 2340: 3.37ms, total_kernels=468000
[bursty] burst 2350: 3.37ms, total_kernels=470000
[bursty] burst 2360: 3.38ms, total_kernels=472000
[bursty] burst 2370: 3.36ms, total_kernels=474000
[bursty] burst 2380: 3.39ms, total_kernels=476000
[bursty] burst 2390: 3.37ms, total_kernels=478000
[bursty] burst 2400: 3.38ms, total_kernels=480000
[bursty] burst 2410: 3.37ms, total_kernels=482000
[bursty] burst 2420: 3.38ms, total_kernels=484000
[bursty] burst 2430: 3.41ms, total_kernels=486000
[bursty] burst 2440: 3.37ms, total_kernels=488000
[bursty] burst 2450: 3.38ms, total_kernels=490000
[bursty] burst 2460: 3.38ms, total_kernels=492000
[bursty] burst 2470: 3.38ms, total_kernels=494000
[bursty] burst 2480: 3.39ms, total_kernels=496000
[bursty] burst 2490: 3.39ms, total_kernels=498000
[bursty] burst 2500: 3.37ms, total_kernels=500000
[bursty] burst 2510: 3.39ms, total_kernels=502000
[bursty] burst 2520: 3.38ms, total_kernels=504000
[bursty] burst 2530: 3.39ms, total_kernels=506000
[bursty] burst 2540: 3.39ms, total_kernels=508000
[bursty] burst 2550: 3.38ms, total_kernels=510000
[bursty] burst 2560: 3.39ms, total_kernels=512000
[bursty] burst 2570: 3.38ms, total_kernels=514000
[bursty] burst 2580: 3.37ms, total_kernels=516000
[bursty] burst 2590: 3.37ms, total_kernels=518000
[bursty] burst 2600: 3.38ms, total_kernels=520000
[bursty] burst 2610: 3.36ms, total_kernels=522000
[bursty] burst 2620: 3.38ms, total_kernels=524000
[bursty] burst 2630: 3.37ms, total_kernels=526000
[bursty] burst 2640: 3.38ms, total_kernels=528000
[bursty] burst 2650: 3.37ms, total_kernels=530000
[bursty] burst 2660: 3.38ms, total_kernels=532000
[bursty] burst 2670: 3.38ms, total_kernels=534000
[bursty] burst 2680: 3.37ms, total_kernels=536000
[bursty] burst 2690: 3.38ms, total_kernels=538000
[bursty] burst 2700: 3.38ms, total_kernels=540000
