condition,transition,count,p50_gap_us,p99_gap_us,max_gap_ms,mean_mem_us_inside,mean_mem_fraction
L1 3g + ResNet,convert_kernel -> copy_complex64,3,108639.1,114277.3,114.3,9.6,0.0%
L1 3g + ResNet,convert_kernel -> noise_intf_est,17,1578.2,89216.6,89.2,64.7,4.6%
L1 3g + ResNet,convert_kernel -> copy_float16,3,73000.4,76796.3,76.8,0.0,0.0%
L1 3g + ResNet,ch_est_filter -> copy_complex64,3,71871.5,74365.8,74.4,0.0,0.0%
L1 3g + ResNet,copy_complex64 -> copy_float32,7,72244.4,73796.2,73.8,0.0,0.0%
L1 3g + ResNet,convert_kernel -> eq_coef,19,2336.6,71374.1,71.4,32.7,2.2%
L1 3g + ResNet,convert_kernel -> convert_kernel,6,69961.5,70298.2,70.3,31.5,0.0%
L1 3g + ResNet,copy_float32 -> convert_kernel,12,1872.3,39117.7,39.1,0.0,0.0%
L1 3g + ResNet,copy_complex64 -> convert_kernel,27,1633.6,3793.3,3.8,0.0,0.0%
L1 3g + ResNet,convert_kernel -> ch_est_pre,1920,850.5,1093.3,3.6,749.8,89.7%
L1 3g + ResNet,copy_complex64 -> copy_complex64,2,534.1,534.1,0.5,0.0,0.0%
L1 3g + Forecaster,convert_kernel -> copy_complex64,3,107360.1,114150.5,114.2,9.6,0.0%
L1 3g + Forecaster,convert_kernel -> eq_coef,15,2096.8,87552.1,87.6,49.6,3.0%
L1 3g + Forecaster,ch_est_filter -> copy_complex64,3,73310.7,77708.4,77.7,0.0,0.0%
L1 3g + Forecaster,convert_kernel -> noise_intf_est,14,1674.2,76768.6,76.8,84.4,8.5%
L1 3g + Forecaster,convert_kernel -> copy_float16,3,72836.2,76228.7,76.2,0.0,0.0%
L1 3g + Forecaster,copy_complex64 -> copy_float32,6,71484.8,73861.8,73.9,0.0,0.0%
L1 3g + Forecaster,convert_kernel -> convert_kernel,6,69814.9,71287.8,71.3,35.7,0.1%
L1 3g + Forecaster,copy_complex64 -> convert_kernel,32,1607.7,39854.9,39.9,0.0,0.0%
L1 3g + Forecaster,copy_complex64 -> copy_complex64,3,533.6,4213.1,4.2,0.0,0.0%
L1 3g + Forecaster,copy_float32 -> convert_kernel,15,1063.4,3892.9,3.9,0.0,0.0%
L1 3g + Forecaster,convert_kernel -> ch_est_pre,1920,825.7,1082.6,31.6,727.0,89.4%
L1 3g + Forecaster,noise_intf_est -> copy_complex64,1,834.4,834.4,0.8,0.0,0.0%
L1 7g MIG alone,convert_kernel -> copy_complex64,3,114867.7,117175.2,117.2,9.7,0.0%
L1 7g MIG alone,convert_kernel -> copy_float16,3,75546.4,76986.5,77.0,0.0,0.0%
L1 7g MIG alone,ch_est_filter -> copy_complex64,3,73554.5,74690.2,74.7,0.0,0.0%
L1 7g MIG alone,copy_complex64 -> copy_float32,7,71235.0,73753.6,73.8,0.0,0.0%
L1 7g MIG alone,convert_kernel -> convert_kernel,6,70512.0,70936.5,70.9,30.3,0.0%
L1 7g MIG alone,copy_complex64 -> convert_kernel,44,1936.2,56155.2,56.2,0.0,0.0%
L1 7g MIG alone,convert_kernel -> noise_intf_est,20,1598.9,17843.3,17.8,49.8,4.2%
L1 7g MIG alone,convert_kernel -> eq_coef,27,1828.8,5261.9,5.3,40.0,2.8%
L1 7g MIG alone,copy_float32 -> convert_kernel,18,2000.0,5081.7,5.1,0.0,0.0%
L1 7g MIG alone,convert_kernel -> ch_est_pre,920,525.9,2168.7,75.7,421.7,76.0%
L1 7g MIG alone,copy_complex64 -> copy_complex64,3,838.6,988.3,1.0,0.0,0.0%
L1 7g MIG alone,noise_intf_est -> copy_complex64,2,753.7,753.7,0.8,0.0,0.0%
L1 3g + XApp,convert_kernel -> copy_complex64,3,118546.5,119868.3,119.9,9.2,0.0%
L1 3g + XApp,convert_kernel -> eq_coef,13,3341.8,88044.0,88.0,17.4,0.7%
L1 3g + XApp,convert_kernel -> copy_float16,3,76719.3,79132.6,79.1,0.0,0.0%
L1 3g + XApp,ch_est_filter -> copy_complex64,3,77329.4,77426.5,77.4,0.0,0.0%
L1 3g + XApp,copy_complex64 -> copy_float32,7,70443.1,74451.5,74.5,0.0,0.0%
L1 3g + XApp,convert_kernel -> convert_kernel,6,67066.2,69141.0,69.1,23.2,0.0%
L1 3g + XApp,convert_kernel -> noise_intf_est,18,1520.1,36329.8,36.3,59.4,4.6%
L1 3g + XApp,copy_complex64 -> convert_kernel,30,1748.8,7656.4,7.7,0.0,0.0%
L1 3g + XApp,copy_float32 -> convert_kernel,14,1492.3,5407.0,5.4,0.0,0.0%
L1 3g + XApp,copy_complex64 -> copy_complex64,2,4058.1,4058.1,4.1,0.0,0.0%
L1 3g + XApp,copy_float32 -> copy_complex64,1,1194.5,1194.5,1.2,1.7,0.1%
L1 3g + XApp,convert_kernel -> ch_est_pre,1920,681.2,919.1,36.0,632.0,88.5%
L1 3g + ResNet+ChanPred,convert_kernel -> copy_complex64,3,114152.1,114818.0,114.8,10.7,0.0%
L1 3g + ResNet+ChanPred,ch_est_filter -> copy_complex64,3,74815.8,74888.7,74.9,0.0,0.0%
L1 3g + ResNet+ChanPred,convert_kernel -> copy_float16,3,74216.4,74349.4,74.3,0.0,0.0%
L1 3g + ResNet+ChanPred,copy_complex64 -> copy_float32,6,71955.5,73309.9,73.3,0.0,0.0%
L1 3g + ResNet+ChanPred,convert_kernel -> convert_kernel,6,70005.6,71214.8,71.2,30.3,0.0%
L1 3g + ResNet+ChanPred,copy_float32 -> copy_complex64,2,1488.6,1488.6,1.5,3.7,0.4%
L1 3g + ResNet+ChanPred,convert_kernel -> noise_intf_est,2,1224.9,1224.9,1.2,96.0,9.1%
L1 3g + ResNet+ChanPred,convert_kernel -> ch_est_pre,1920,745.6,1019.4,1.0,690.7,88.8%
L1 3g + ResNet+ChanPred,convert_kernel -> eq_coef,1,766.5,766.5,0.8,21.3,2.8%
L1 3g + ResNet+ChanPred,copy_complex64 -> convert_kernel,3,537.4,602.7,0.6,0.0,0.0%
L1 3g + ResNet+ChanPred,copy_complex64 -> copy_complex64,1,555.0,555.0,0.6,0.0,0.0%
L1 3g + ResNet+Forecaster,convert_kernel -> copy_complex64,3,105968.3,112247.1,112.2,9.8,0.0%
L1 3g + ResNet+Forecaster,ch_est_filter -> copy_complex64,3,73777.8,78704.0,78.7,0.0,0.0%
L1 3g + ResNet+Forecaster,convert_kernel -> copy_float16,3,73186.3,77349.0,77.3,0.0,0.0%
L1 3g + ResNet+Forecaster,copy_complex64 -> copy_float32,6,70515.7,73714.4,73.7,0.0,0.0%
L1 3g + ResNet+Forecaster,convert_kernel -> convert_kernel,6,71121.4,72379.6,72.4,40.1,0.1%
L1 3g + ResNet+Forecaster,convert_kernel -> noise_intf_est,1,1169.9,1169.9,1.2,62.5,5.3%
L1 3g + ResNet+Forecaster,convert_kernel -> ch_est_pre,1920,845.9,992.8,2.0,732.8,89.7%
L1 3g + ResNet+Forecaster,copy_complex64 -> convert_kernel,5,583.5,991.3,1.0,0.0,0.0%
L1 3g + ResNet+Forecaster,copy_complex64 -> copy_complex64,2,567.7,567.7,0.6,0.0,0.0%
L1 3g + ResNet+Forecaster,convert_kernel -> eq_coef,1,518.7,518.7,0.5,248.0,47.8%
L1 4g + ChanPred,convert_kernel -> copy_complex64,3,105661.9,122725.2,122.7,11.6,0.0%
L1 4g + ChanPred,ch_est_filter -> copy_complex64,3,72264.4,77017.2,77.0,0.0,0.0%
L1 4g + ChanPred,copy_complex64 -> copy_float32,6,71063.9,74939.3,74.9,0.0,0.0%
L1 4g + ChanPred,convert_kernel -> copy_float16,3,71778.6,73947.8,73.9,0.0,0.0%
